<<<<<<< HEAD
541,,,,,,,,,SATB2,TMEM38A,YWHAB,CNTNAP1,ADAMDEC1,,,,ELMO1 | AMEX60DD038068,,,,,,,Lingo1
542,,,,,,,,,FXYD6,CADM3,BEX5,PAQR6,LINC00645,,,,ETV1 | AMEX60DD022427,,,,,,,Lpar1
543,,,,,,,,,PLPPR1,CBR1,NMNAT2,BHLHE41,S100A2,,,,CSF1R | AMEX60DD030145,,,,,,,Ttc9b
544,,,,,,,,,CHN1,EIF5A,TTYH2,PFKP,ZNF217,,,,TCN2 | AMEX60DD001162,,,,,,,Opalin
545,,,,,,,,,NRSN1,GAPDH,ATP2B2,SUCLA2,CRIM1,,,,SPARC | AMEX60DD030096,,,,,,,Gna12
546,,,,,,,,,NKAIN2,ANLN,ATP5F1A,TFF1,SOX9,,,,AMEX60DD052236,,,,,,,Syt1
547,,,,,,,,,GSN,TSC22D1,C1orf115,C14orf132,COL10A1,,,,FAM181B | AMEX60DD049680,,,,,,,Cntn2
548,,,,,,,,,OPN3,ANXA6,GUCY1B1,SIRT2,SLC25A5,,,,GHRH[nr]|VIP[hs] | AMEX60DD028629,,,,,,,Fam163b
549,,,,,,,,,MAG,NUDT4,EEF1A2,ATP5F1B,RPS26,,,,LOC115087353[nr]|ARF1[hs] | AMEX60DD046977,,,,,,,Spock3
550,,,,,,,,,CNTNAP4,HSPA8,TRIO,PRKAR1B,PGM5,,,,INHBB | AMEX60DD056132,,,,,,,Pvalb
551,,,,,,,,,TTC9B,L1CAM,PTGDS,ABCA2,ITPR2,,,,TIAM1 | AMEX60DD047350,,,,,,,Ccp110
552,,,,,,,,,HPCA,CALML5,NDUFB1,FABP3,BCAS4,,,,RPL30 | AMEX60DD040171,,,,,,,Cdk14
553,,,,,,,,,MAP1B,AL359091.1,ACTR3B,CXCL14,RORC,,,,SPARCL1 | AMEX60DD043920,,,,,,,Reps2
554,,,,,,,,,KCNIP4,GRIN1,PRNP,CDK18,KIAA0040,,,,TPBGL | AMEX60DD049840,,,,,,,Tmem88b
555,,,,,,,,,EFHD1,EPDR1,MIAT,IGLC2,TIMP3,,,,PDGFRB | AMEX60DD030144,,,,,,,Rock2
556,,,,,,,,,OXR1,BEX1,FAM107B,NEUROD2,MYLK,,,,CASR | AMEX60DD046907,,,,,,,4-Sep
557,,,,,,,,,RORB,GJB1,PAQR6,RASD1,GPC3,,,,ADCYAP1R1 | AMEX60DD021323,,,,,,,Atp2b4
558,,,,,,,,,NRXN2,RFPL1S,PFKP,PPP3CA,CA14,,,,LPAR6.S[nr]|LPAR6[hs] | AMEX60DD049019,,,,,,,Ddc
559,,,,,,,,,RAPGEF5,ARPP21,PRKAR1B,CISD1,ENC1,,,,PPP1R1B[nr]|DARPP32[hs] | AMEX60DD010300,,,,,,,Fhl2
560,,,,,,,,,GRASP,B3GALT2,ATP5F1B,DNM1,LINC01410,,,,PPP1R32 | AMEX60DD004614,,,,,,,Sphkap
561,,,,,,,,,ENPP4,SCN1A,C14orf132,PGAM1,AMIGO2,,,,XELAEV_18033097MG[nr] | AMEX60DD022813,,,,,,,Plk2
562,,,,,,,,,IGHG3,APP,SIRT2,BOLA3,AL732437.3,,,,AGR2[hs] | AMEX60DD022464,,,,,,,Pip5k1c
563,,,,,,,,,INA,HS6ST3,TFF1,NRCAM,LGALS8,,,,GPX8 | AMEX60DD042105,,,,,,,Tanc1
564,,,,,,,,,ATP2A2,RBFOX3,ABCA2,OLFM1,EZH2,,,,LOC115650587[nr] | AMEX60DD036599,,,,,,,Ppp1r9a
565,,,,,,,,,CLSTN2,ENO2,FABP3,HSP90AA1,CD163L1,,,,SULF1 | AMEX60DD039871,,,,,,,Spp1
566,,,,,,,,,ELMO1,VWA1,CXCL14,RGS4,PLAC9,,,,AMEX60DDU001001926,,,,,,,Rab6b
567,,,,,,,,,R3HDM2,DAAM2,CDK18,LDHA,SCD,,,,COL6A3 | AMEX60DD055459,,,,,,,Rtn4
568,,,,,,,,,CMTM5,PTPRT,IGLC2,SCG2,HLA-DQA1,,,,P2RY1 | AMEX60DD001889,,,,,,,Adcyap1
569,,,,,,,,,NAPB,KCNH1,NEUROD2,ATP5IF1,LRP1,,,,RPE65 | AMEX60DD019294,,,,,,,Prkcb
570,,,,,,,,,GPRASP2,LRRTM1,PPP3CA,CAMK4,POLR2K,,,,SLC16A1 | AMEX60DD008873,,,,,,,Syn2
571,,,,,,,,,CACNA1E,SLC8A2,DNM1,PLEKHB1,IGHA1,,,,PLN[nr] | AMEX60DD034157,,,,,,,Nts
572,,,,,,,,,FZD3,C17orf51,MAP7D2,NPTXR,SLITRK6,,,,SFRP4 | AMEX60DD038079,,,,,,,Tspan2
573,,,,,,,,,RNF13,MOB1B,NRCAM,UBE2QL1,S100P,,,,AMEX60DD054851,,,,,,,Gm15440
574,,,,,,,,,HBA2,PDP1,OLFM1,COX6B1,PABPC1L,,,,LOC115074257[nr]|NPY[hs] | AMEX60DD009927,,,,,,,Meis2
575,,,,,,,,,FRRS1L,FBXW7,SYNGR3,NAPA,PDGFRB,,,,SERPINH1 | AMEX60DDU001001261,,,,,,,Sparc
576,,,,,,,,,STX1A,CPEB3,PFDN4,SOX8,IGFBP6,,,,MMP2 | AMEX60DD017764,,,,,,,Cplx2
577,,,,,,,,,PTPRF,IGHG1,RGS4,NSG2,PSMG3,,,,SLC25A18 | AMEX60DD006932,,,,,,,Rab40b
578,,,,,,,,,PVALB,NECAP1,LDHA,APBA2,TSKU,,,,TGFBR2 | AMEX60DD022702,,,,,,,Prnp
579,,,,,,,,,SCGB2A2,CCK,DDHD2,HSPA1B,COP1,,,,ADCYAP1 | AMEX60DD039450,,,,,,,Gpr6
580,,,,,,,,,HOPX,FAXDC2,SCG2,SLC6A1,Z82246.1,,,,MFAP2 | AMEX60DD052377,,,,,,,Ntng1
581,,,,,,,,,ATP1B1,TRHDE,ATP5IF1,GPR37,MYBL2,,,,LOC101932249[nr]|CYP1A1[hs] | AMEX60DD043181,,,,,,,Grm1
582,,,,,,,,,RASGRF1,OPALIN,FEZ1,INPP5F,AGPAT2,,,,CPE | AMEX60DD045225,,,,,,,Peg10
583,,,,,,,,,SLC12A5,FAM131A,CAMK4,SNX10,FOXI1,,,,LOC104571731[nr]|SLC5A7[hs] | AMEX60DD049574,,,,,,,Qk
584,,,,,,,,,ZNF25,NEFL,PLEKHB1,SLC20A1,GCHFR,,,,LOC108711469[nr]|SV2B[hs] | AMEX60DD003452,,,,,,,Serinc1
585,,,,,,,,,KRT17,COL3A1,UBE2QL1,ATP1B2,UGCG,,,,TPI[nr]|TPI1[hs] | AMEX60DD026817,,,,,,,mt.Nd5
586,,,,,,,,,GPRC5B,GRIA3,NPTXR,GARS,CARTPT,,,,AMEX60DDU001033882,,,,,,,Gng7
587,,,,,,,,,FA2H,GAD1,BAIAP3,ADAM23,COL5A2,,,,nan | AMEX60DD026859,,,,,,,Npy
588,,,,,,,,,SHOC2,PTPRN2,CSRP1,PCP4,GLUD1,,,,ITM2B | AMEX60DD049023,,,,,,,Calb2
589,,,,,,,,,CALM3,LDB2,SOX8,FBXO9,NIBAN1,,,,LOC115460661[nr]|CARTPT[hs] | AMEX60DD003380,,,,,,,Rgs12
590,,,,,,,,,AQP4,COX6C,MT1G,NKX6-2,EIF3L,,,,NRAD[nr]|RRAD[hs] | AMEX60DD015393,,,,,,,Nr4a2
591,,,,,,,,,MGP,NAP1L3,NSG2,EXTL2,LAGE3,,,,RPL7 | AMEX60DD039907,,,,,,,Efnb3
592,,,,,,,,,EHD3,COX7A1,HSPA1B,ASNS,APCDD1,,,,nan | AMEX60DD044904,,,,,,,Wfs1
593,,,,,,,,,SNN,SEMA3B,MORF4L2,RGS5,RAMP1,,,,NANS | AMEX60DD043925,,,,,,,Apoe
594,,,,,,,,,EBNA1BP2,PDS5B,SLC6A1,GPX3,CXorf40A,,,,ANXA4 | AMEX60DD001400,,,,,,,Sptbn1
595,,,,,,,,,FBXO7,ATP5MD,GPR37,,SPAG4,,,,MET | AMEX60DD006320,,,,,,,Sez6l2
596,,,,,,,,,MFSD4A,DGKB,SNX10,,PLPPR3,,,,SLC40A1 | AMEX60DD055178,,,,,,,Rasgrf2
597,,,,,,,,,CTNNA2,TMSB10,SLC20A1,,PPDPF,,,,RASGRP3 | AMEX60DD034803,,,,,,,Itpkb
598,,,,,,,,,SYN2,NGEF,TEF,,VTCN1,,,,GPR171 | AMEX60DD001916,,,,,,,Cnr1
599,,,,,,,,,DCLK1,UGT8,CBLN2,,TAP1,,,,COL4A2 | AMEX60DD047874,,,,,,,Arf3
600,,,,,,,,,HMGCS1,SLC39A6,ADAM23,,AGL,,,,AB205_0119900[nr]|LUM[hs] | AMEX60DD007586,,,,,,,Timp3
601,,,,,,,,,NRN1,IQCK,RCN2,,AC110619.1,,,,SLC25A3 | AMEX60DD007843,,,,,,,Kcnh7
602,,,,,,,,,STXBP5,SDC3,PCP4,,SLC39A11,,,,B2M | AMEX60DD028300,,,,,,,Icam5
603,,,,,,,,,PDE2A,HNRNPH2,NKX6-2,,FOSB,,,,LOC106944734[nr] | AMEX60DD044469,,,,,,,Mef2c
604,,,,,,,,,DNM2,CDH8,ASNS,,RARRES2,,,,LIPG | AMEX60DD041738,,,,,,,Mobp
605,,,,,,,,,EGR3,CPLX1,RGS5,,FSTL1,,,,TBX18 | AMEX60DD033766,,,,,,,Ido1
606,,,,,,,,,MID1IP1,MAPK10,GPX3,,SCN8A,,,,LOC101933128[nr] | AMEX60DD047408,,,,,,,Cap2
607,,,,,,,,,NCALD,ERBB4,,,RHOBTB3,,,,UCHL1[hs] | AMEX60DD045638,,,,,,,Synpo2
608,,,,,,,,,STXBP1,AC005944.1,,,IGFBP3,,,,NPY | AMEX60DD022071,,,,,,,Sipa1l1
609,,,,,,,,,ITPR1,RNASE1,,,ANKRD37,,,,COL1A1 | AMEX60DD009937,,,,,,,Unc13c
610,,,,,,,,,CALY,STXBP5L,,,PRR34-AS1,,,,BHMT | AMEX60DD042310,,,,,,,Dlgap1
611,,,,,,,,,YWHAH,CD9,,,KDF1,,,,RBP4 | AMEX60DD052620,,,,,,,Inadl
612,,,,,,,,,PRKCE,KCTD16,,,ADH1B,,,,EMILIN1 | AMEX60DD032595,,,,,,,Ebf3
613,,,,,,,,,LHPP,COL6A2,,,RGCC,,,,DMRT1[hs] | AMEX60DD043122,,,,,,,Slc7a3
614,,,,,,,,,SLC2A13,RHOU,,,SHANK2,,,,VWA1 | AMEX60DD051290,,,,,,,Baiap2
615,,,,,,,,,TUBA4A,CYTH1,,,DSCR8,,,,LAPTM5 | AMEX60DD005457,,,,,,,S100b
616,,,,,,,,,PLXNB1,NEFH,,,PLOD2,,,,LOC115090923[nr]|PKD1[hs] | AMEX60DD030949,,,,,,,Ndrg2
617,,,,,,,,,PIK3R1,GUCY1A2,,,SMS,,,,AADAC | AMEX60DDU001028267,,,,,,,Slc1a2
618,,,,,,,,,LINC00507,NAA20,,,CCN5,,,,RPS23 | AMEX60DD042493,,,,,,,Satb1
619,,,,,,,,,QKI,ATRNL1,,,MRPS28,,,,DDT | AMEX60DD000400,,,,,,,Ttyh2
620,,,,,,,,,GLDN,EDIL3,,,KIF14,,,,LOC115655586[nr]|AHNAK[hs] | AMEX60DD025424,,,,,,,Ogfrl1
621,,,,,,,,,NPTN,JAM3,,,TTLL12,,,,AMEX60DD010910,,,,,,,Pcp4l1
622,,,,,,,,,PGK1,ADGRA1,,,RPAIN,,,,LOXL2 | AMEX60DD002960,,,,,,,Actb
623,,,,,,,,,WSB1,DKK3,,,NAIP,,,,LDHA | AMEX60DD004681,,,,,,,Chst8
624,,,,,,,,,ZCCHC24,JAZF1,,,POLR2L,,,,ND5 | AMEX60DD038502,,,,,,,Pde1b
625,,,,,,,,,LDHB,ELK1,,,CPNE7,,,,NPAS4 | AMEX60DD025143,,,,,,,Rasd1
626,,,,,,,,,DNAJA2,PCDH8,,,LMCD1,,,,TSP-1[nr]|THBS1[hs] | AMEX60DD012285,,,,,,,Ppp1r1b
627,,,,,,,,,COX7B,CLEC2L,,,AC021148.2,,,,LOC101935596[nr]|B3GALT5[hs] | AMEX60DD041353,,,,,,,Gm26645
628,,,,,,,,,ACSL6,WIF1,,,RGS16,,,,MAB21L1 | AMEX60DD049212,,,,,,,Chn2
629,,,,,,,,,KLC1,SLITRK5,,,GJA1,,,,AP2M1 | AMEX60DD001495,,,,,,,Zbtb18
630,,,,,,,,,SIPA1L1,YWHAG,,,CLUL1,,,,VWA7 | AMEX60DD018151,,,,,,,Wipf3
631,,,,,,,,,NPTX2,SATB2,,,LAPTM4B,,,,LOC115084272[nr]|PON1[hs] | AMEX60DD022378,,,,,,,Sh3d19
632,,,,,,,,,ATP6V1D,CELF4,,,MMP14,,,,CLU | AMEX60DD032706,,,,,,,Pde1a
633,,,,,,,,,HBB,FXYD6,,,FSIP1,,,,LOC108717042[nr]|KCNAB1[hs] | AMEX60DD001858,,,,,,,Trpa1
634,,,,,,,,,ATP5MC3,GDA,,,CMC2,,,,F13B | AMEX60DD018697,,,,,,,Cers2
635,,,,,,,,,LAMP2,PLPPR1,,,CST1,,,,SNAP25 | AMEX60DD035767,,,,,,,Nrsn2
636,,,,,,,,,FAM84A,CHN1,,,WARS,,,,FBLN2 | AMEX60DD024053,,,,,,,Adora2a
637,,,,,,,,,SLITRK1,IGHM,,,SELENBP1,,,,CAVIN2 | AMEX60DD028077,,,,,,,Rpl37a
638,,,,,,,,,GNAI1,GSN,,,KIF18B,,,,ACAN | AMEX60DD004178,,,,,,,Vstm2l
639,,,,,,,,,FABP4,NKAIN2,,,BLVRA,,,,ATP5F1A | AMEX60DD041683,,,,,,,Kcnc2
640,,,,,,,,,KALRN,ASPH,,,RRS1,,,,LOC115466066[nr]|ICAM5[hs] | AMEX60DD031873,,,,,,,Slc12a2
641,,,,,,,,,MOG,OPN3,,,PLA2G2D,,,,SDC2 | AMEX60DD040162,,,,,,,Rims3
642,,,,,,,,,YWHAB,CNTNAP4,,,SELE,,,,PDGFRA | AMEX60DD045542,,,,,,,Scn4b
643,,,,,,,,,BEX5,TTC9B,,,ARHGAP9,,,,PODXL | AMEX60DD008079,,,,,,,Gjb1
644,,,,,,,,,NMNAT2,MAG,,,LTO1,,,,MUSTN1 | AMEX60DD023650,,,,,,,Rora
645,,,,,,,,,TTYH2,HPCA,,,MMP1,,,,KLF10 | AMEX60DD040240,,,,,,,Calm1
646,,,,,,,,,ATP2B2,MAP1B,,,CAVIN3,,,,DRD3 | AMEX60DD046985,,,,,,,Trf
647,,,,,,,,,TGFBR3L,MUC5B,,,GZMK,,,,AMEX60DD052120,,,,,,,Anln
648,,,,,,,,,ATP5F1A,KCNIP4,,,MZB1,,,,LOC115099991[nr] | AMEX60DD018180,,,,,,,Zwint
649,,,,,,,,,LINC00599,ALCAM,,,GRTP1,,,,EDNRB | AMEX60DD048805,,,,,,,Lamp5
650,,,,,,,,,C1orf115,OLFM3,,,NDP,,,,RPL13 | AMEX60DD017083,,,,,,,
651,,,,,,,,,GRM5,ADCY1,,,MRPL45,,,,AMEX60DD054837,,,,,,,
652,,,,,,,,,GUCY1B1,EFHD1,,,SMARCA1,,,,AMEX60DD019586,,,,,,,
653,,,,,,,,,SYNC,TAGLN,,,GOT2,,,,TAGLN | AMEX60DD053922,,,,,,,
654,,,,,,,,,EEF1A2,OXR1,,,AC100826.1,,,,TIMP4 | AMEX60DD024010,,,,,,,
655,,,,,,,,,PTGDS,RORB,,,TPX2,,,,TMIE | AMEX60DD020531,,,,,,,
656,,,,,,,,,ACTR3B,NRXN2,,,NVL,,,,ALDH2 | AMEX60DD000689,,,,,,,
657,,,,,,,,,RGS12,SYBU,,,TMEM106C,,,,MARCO | AMEX60DD056028,,,,,,,
658,,,,,,,,,ADAMTS4,RAPGEF5,,,PODXL,,,,PPIC | AMEX60DD042867,,,,,,,
659,,,,,,,,,SVOP,GRASP,,,STC2,,,,AMEX60DD007170,,,,,,,
660,,,,,,,,,CACNA1B,IGHG3,,,LINC02224,,,,F10 | AMEX60DD048288,,,,,,,
661,,,,,,,,,PRNP,INA,,,VCAM1,,,,FAM131A | AMEX60DD001523,,,,,,,
662,,,,,,,,,HSPA12A,MAP3K12,,,CKAP2,,,,SLC29A4 | AMEX60DD025690,,,,,,,
663,,,,,,,,,MIAT,ATP2A2,,,REEP1,,,,GLUL.L[nr]|GLUL[hs] | AMEX60DD050853,,,,,,,
664,,,,,,,,,FAM107B,CLSTN2,,,CCNF,,,,PSAP | AMEX60DD051892,,,,,,,
665,,,,,,,,,CNTNAP1,ELMO1,,,SH3BGRL,,,,AMEX60DD047022,,,,,,,
666,,,,,,,,,PAQR6,CMTM5,,,GTF2H5,,,,ATP2B1[hs] | AMEX60DD006353,,,,,,,
667,,,,,,,,,CTNNB1,CITED2,,,S100G,,,,GPR37L1 | AMEX60DD008635,,,,,,,
668,,,,,,,,,ICA1,NAPB,,,DBNDD2,,,,CA2 | AMEX60DD040028,,,,,,,
669,,,,,,,,,PFKP,GPRASP2,,,DOCK1,,,,C1QTNF1 | AMEX60DD031409,,,,,,,
670,,,,,,,,,PRKAR1B,FZD3,,,GBP2,,,,ABCG2 | AMEX60DD044012,,,,,,,
671,,,,,,,,,ATP5F1B,RNF13,,,TXN,,,,EDNRA | AMEX60DD045012,,,,,,,
672,,,,,,,,,C14orf132,HBA2,,,INHA,,,,nan | AMEX60DD000402,,,,,,,
673,,,,,,,,,B4GALT6,FRRS1L,,,SCUBE3,,,,GJA1 | AMEX60DD034120,,,,,,,
674,,,,,,,,,SIRT2,PVALB,,,DRAIC,,,,NPFF | AMEX60DD029535,,,,,,,
675,,,,,,,,,TFF1,SCGB2A2,,,PRUNE1,,,,LOC108697507[nr]|FMOD[hs] | AMEX60DD009114,,,,,,,
676,,,,,,,,,ABCA2,HOPX,,,PKMYT1,,,,LOC115479509[nr]|GZMB[hs] | AMEX60DD014616,,,,,,,
677,,,,,,,,,FABP3,PPFIA2,,,CD40,,,,FAM180A | AMEX60DD007033,,,,,,,
678,,,,,,,,,CACNA2D1,SAA2,,,HIST1H2BD,,,,LOC110222103[nr]|UBC[hs] | AMEX60DD000054,,,,,,,
679,,,,,,,,,EPB41L3,ATP1B1,,,EPCAM,,,,FOXP1 | AMEX60DD023939,,,,,,,
680,,,,,,,,,CXCL14,RELN,,,SCNN1B,,,,REC114 | AMEX60DD003886,,,,,,,
681,,,,,,,,,CDK18,G0S2,,,DTYMK,,,,TSPO | AMEX60DD006428,,,,,,,
682,,,,,,,,,IGLC2,SLC12A5,,,SLC66A3,,,,EIF3F | AMEX60DD015751,,,,,,,
683,,,,,,,,,NEUROD2,OLA1,,,TP53I11,,,,NXPH1 | AMEX60DD022514,,,,,,,
684,,,,,,,,,PPP3CA,ATP6V1E1,,,SLC4A8,,,,nan | AMEX60DD009353,,,,,,,
685,,,,,,,,,DNM1,KRT17,,,HELZ2,,,,RPL28 | AMEX60DD016499,,,,,,,
686,,,,,,,,,MAT2B,GPRC5B,,,REEP5,,,,GSN | AMEX60DD050610,,,,,,,
687,,,,,,,,,BOLA3,PIP5K1B,,,FNDC1,,,,EGFL7 | AMEX60DD050693,,,,,,,
688,,,,,,,,,OLFM1,FA2H,,,CD55,,,,SWAP70 | AMEX60DD004789,,,,,,,
689,,,,,,,,,HSP90AA1,SHOC2,,,NDRG1,,,,SLC17A6 | AMEX60DD004989,,,,,,,
690,,,,,,,,,ASS1,CALM3,,,AGR3,,,,AVPR1A | AMEX60DD007737,,,,,,,
691,,,,,,,,,RALB,MGP,,,NPM1,,,,PTGIS | AMEX60DD027558,,,,,,,
692,,,,,,,,,RGS4,TFF3,,,ESRP2,,,,PRDM8.S[nr]|PRDM8[hs] | AMEX60DD043742,,,,,,,
693,,,,,,,,,UBE2E3,LMTK2,,,AGRN,,,,NFATC1 | AMEX60DDU001005462,,,,,,,
694,,,,,,,,,SCG2,RCAN2,,,ECI2,,,,EHD2 | AMEX60DD024434,,,,,,,
695,,,,,,,,,ATP5IF1,SNN,,,FCGBP,,,,HBG2[hs] | AMEX60DD028125,,,,,,,
696,,,,,,,,,LRRC8D,IFI27,,,PLIN1,,,,RUNX2 | AMEX60DD032922,,,,,,,
697,,,,,,,,,FEZ1,PIP,,,ID3,,,,PNCK | AMEX60DD025557,,,,,,,
698,,,,,,,,,PLEKHB1,MFSD4A,,,RMND5B,,,,C7 | AMEX60DD041969,,,,,,,
699,,,,,,,,,NPTXR,MAF,,,CMPK2,,,,AMEX60DD035705,,,,,,,
700,,,,,,,,,BAIAP3,DCLK1,,,MRPL13,,,,LOC105357518[nr] | AMEX60DD009107,,,,,,,
701,,,,,,,,,CSRP1,SYN2,,,CMYA5,,,,PCDH19 | AMEX60DD037682,,,,,,,
702,,,,,,,,,SOX8,IGFBP5,,,EMP2,,,,CYP7B1 | AMEX60DD039816,,,,,,,
703,,,,,,,,,MT1G,CTNNA2,,,PDCD5,,,,EFCAB6 | AMEX60DD006437,,,,,,,
704,,,,,,,,,CCT8,LMTK3,,,HDC,,,,ADAMTS8[nr] | AMEX60DD053568,,,,,,,
705,,,,,,,,,NSG2,HMGCS1,,,NME2,,,,COL23A1 | AMEX60DD029020,,,,,,,
706,,,,,,,,,PIP4K2C,NRN1,,,TNFRSF12A,,,,COL4A1 | AMEX60DD047873,,,,,,,
707,,,,,,,,,TUBA1A,STXBP5,,,ANKRD30B,,,,RGS5 | AMEX60DD018752,,,,,,,
708,,,,,,,,,SLC6A1,EGR3,,,FUOM,,,,ALDOC[hs] | AMEX60DD054868,,,,,,,
709,,,,,,,,,COQ10B,NEGR1,,,ANGPTL2,,,,AMEX60DD017596,,,,,,,
710,,,,,,,,,GPR37,NCALD,,,MAPK8IP2,,,,GNRH1 | AMEX60DD002993,,,,,,,
711,,,,,,,,,INPP5F,STXBP1,,,AC026355.2,,,,EYA2 | AMEX60DD027599,,,,,,,
712,,,,,,,,,DPYSL5,ITPR1,,,OAS3,,,,NPTXR | AMEX60DD029261,,,,,,,
713,,,,,,,,,PRRT1,CALY,,,TGFBR2,,,,DR999_PMT12225[nr]|PPDPF[hs] | AMEX60DD027003,,,,,,,
714,,,,,,,,,ACTL6B,YWHAH,,,THBS2,,,,RMI2 | AMEX60DD021440,,,,,,,
715,,,,,,,,,SNX10,PRKCE,,,ANLN,,,,LOC115087673[nr]|METTL7A[hs] | AMEX60DD029667,,,,,,,
716,,,,,,,,,CBLN2,LHPP,,,ABHD11,,,,LFNG | AMEX60DD021181,,,,,,,
717,,,,,,,,,ADAM23,FBXO34,,,CDC20,,,,LRRC32 | AMEX60DD049736,,,,,,,
718,,,,,,,,,PCP4,AP2M1,,,FAM83D,,,,LOC112116036[nr]|IFITM2[hs] | AMEX60DD004560,,,,,,,
719,,,,,,,,,NKX6-2,PNMA1,,,ATP5PF,,,,LOC113480136[nr]|RPL36A[hs] | AMEX60DDU001009570,,,,,,,
720,,,,,,,,,EXTL2,SLC2A13,,,NEBL,,,,SNX5 | AMEX60DD034775,,,,,,,
721,,,,,,,,,GJB1,TUBA4A,,,SCX,,,,CIRBP[nr] | AMEX60DD010598,,,,,,,
722,,,,,,,,,RGS5,LINC01007,,,ARPP21,,,,EPHX1[hs] | AMEX60DD036276,,,,,,,
723,,,,,,,,,GPX3,PLXNB1,,,RASAL3,,,,MPEG1 | AMEX60DD007220,,,,,,,
724,,,,,,,,,,KCNQ5,,,BOLA1,,,,TIMP1 | AMEX60DD020992,,,,,,,
725,,,,,,,,,,PIK3R1,,,LAMB1,,,,EIF4EBP3 | AMEX60DD029041,,,,,,,
726,,,,,,,,,,LINC00507,,,GBP3,,,,OSTN | AMEX60DD003207,,,,,,,
727,,,,,,,,,,QKI,,,MRPL58,,,,SLC25A6 | AMEX60DD048130,,,,,,,
728,,,,,,,,,,GLDN,,,AC092069.1,,,,HGFAC | AMEX60DD045978,,,,,,,
729,,,,,,,,,,NPTN,,,RBM47,,,,NTS | AMEX60DD007681,,,,,,,
730,,,,,,,,,,PGK1,,,COL3A1,,,,NDRG1[hs] | AMEX60DD040549,,,,,,,
731,,,,,,,,,,CCND1,,,IFITM1,,,,AMEX60DD040542,,,,,,,
732,,,,,,,,,,LTF,,,LINC01341,,,,SMOC1 | AMEX60DD011888,,,,,,,
733,,,,,,,,,,ZCCHC24,,,ASPN,,,,ALDH1A2 | AMEX60DD004101,,,,,,,
734,,,,,,,,,,DNAJA2,,,GFRA1,,,,DNM1 | AMEX60DD050279,,,,,,,
735,,,,,,,,,,CD24,,,LCK,,,,SP5 | AMEX60DD055651,,,,,,,
736,,,,,,,,,,JAKMIP1,,,H2AFZ,,,,SST | AMEX60DD003175,,,,,,,
737,,,,,,,,,,ACSL6,,,IGFBP7,,,,SLIT2 | AMEX60DD045792,,,,,,,
738,,,,,,,,,,KLC1,,,CCL5,,,,DAD1 | AMEX60DD009440,,,,,,,
739,,,,,,,,,,NPTX2,,,SNHG7,,,,ATP1A1 | AMEX60DD046884,,,,,,,
740,,,,,,,,,,HBB,,,C2orf27A,,,,TBR1 | AMEX60DD055781,,,,,,,
741,,,,,,,,,,LAMP2,,,TPRG1,,,,ZIC1 | AMEX60DD001970,,,,,,,
742,,,,,,,,,,FAM84A,,,KIF12,,,,PDGFRL | AMEX60DD045459,,,,,,,
743,,,,,,,,,,AC116565.1,,,TMEM165,,,,CPLX3 | AMEX60DD003990,,,,,,,
744,,,,,,,,,,PNMA8A,,,FGFR1,,,,LOC107084780[nr]|RPL19[hs] | AMEX60DD010282,,,,,,,
745,,,,,,,,,,FABP4,,,NAA20,,,,ACTG1 | AMEX60DD031316,,,,,,,
746,,,,,,,,,,MOG,,,SCARB1,,,,FGFR1 | AMEX60DD002586,,,,,,,
747,,,,,,,,,,ADGRL3,,,NUPR2,,,,AMEX60DD025200,,,,,,,
748,,,,,,,,,,YWHAB,,,UQCRQ,,,,nan | AMEX60DD040678,,,,,,,
749,,,,,,,,,,BEX5,,,ACTA2,,,,C1QTNF7 | AMEX60DD045837,,,,,,,
750,,,,,,,,,,NMNAT2,,,SRP54,,,,ZFP36L2 | AMEX60DD035972,,,,,,,
751,,,,,,,,,,RAP1GDS1,,,TLNRD1,,,,IFI30 | AMEX60DDU001002380,,,,,,,
752,,,,,,,,,,TTYH2,,,IGHG2,,,,ELK3 | AMEX60DD007825,,,,,,,
753,,,,,,,,,,ATP2B2,,,FCRLB,,,,SLC20A1 | AMEX60DD001301,,,,,,,
754,,,,,,,,,,LINC00599,,,FHL2,,,,AMEX60DD009514,,,,,,,
755,,,,,,,,,,PPP2R2C,,,PRR15,,,,MASP1 | AMEX60DD003171,,,,,,,
756,,,,,,,,,,C1orf115,,,ISOC2,,,,XB5750836.S[nr]|CDH1[hs] | AMEX60DD017039,,,,,,,
757,,,,,,,,,,GRM5,,,ITPRIPL2,,,,MAP2K1 | AMEX60DD003543,,,,,,,
758,,,,,,,,,,LRRN3,,,SASH3,,,,AMEX60DD014850,,,,,,,
759,,,,,,,,,,SYNC,,,OLMALINC,,,,RAC2 | AMEX60DD029329,,,,,,,
760,,,,,,,,,,HIP1R,,,MOCS2,,,,OGN | AMEX60DD023969,,,,,,,
761,,,,,,,,,,EEF1A2,,,ZFP62,,,,HB-B[nr]|HBD[hs] | AMEX60DD026264,,,,,,,
762,,,,,,,,,,PTGDS,,,NUAK1,,,,AMEX60DD017947,,,,,,,
763,,,,,,,,,,ACTR3B,,,ACKR3,,,,HID1 | AMEX60DD030925,,,,,,,
764,,,,,,,,,,RGS12,,,INHBB,,,,TMEM14A | AMEX60DD033443,,,,,,,
765,,,,,,,,,,ADAMTS4,,,CAPN9,,,,SLC16A12 | AMEX60DD052575,,,,,,,
